T,A
3.05E-05,-1.374687
6.10E-05,-1.289954
9.16E-05,-1.212645
1.22E-04,-1.161049
1.53E-04,-1.131316
1.83E-04,-1.108066
2.14E-04,-1.098424
2.44E-04,-1.081541
2.75E-04,-1.072023
3.05E-04,-1.071559
3.36E-04,-1.060229
3.66E-04,-1.010778
3.97E-04,-0.9460748
4.27E-04,-0.8933201
4.58E-04,-0.8251997
4.88E-04,-0.7564642
5.19E-04,-0.6923648
5.49E-04,-0.6466219
5.80E-04,-0.6300514
6.10E-04,-0.6180393
6.41E-04,-0.6051414
6.71E-04,-0.6186429
7.02E-04,-0.6448016
7.32E-04,-0.6926779
7.63E-04,-0.7404244
7.93E-04,-0.7625895
8.24E-04,-0.7610723
8.54E-04,-0.7441757
8.85E-04,-0.7172506
9.16E-04,-0.6678117
9.46E-04,-0.5993981
9.77E-04,-0.5312255
1.01E-03,-0.48313
1.04E-03,-0.4288131
1.07E-03,-0.3737238
1.10E-03,-0.3151788
1.13E-03,-0.2622206
1.16E-03,-0.2030548
1.19E-03,-0.1567412
1.22E-03,-0.1142124
1.25E-03,-8.90E-02
1.28E-03,-9.66E-02
1.31E-03,-0.1394823
1.34E-03,-0.1859261
1.37E-03,-0.2268135
1.40E-03,-0.2594736
1.43E-03,-0.2792284
1.46E-03,-0.2971597
1.50E-03,-0.2932526
1.53E-03,-0.2739739
1.56E-03,-0.2637789
1.59E-03,-0.2572111
1.62E-03,-0.2543219
1.65E-03,-0.2405753
1.68E-03,-0.1978118
1.71E-03,-0.1677956
1.74E-03,-0.1152758
1.77E-03,-4.92E-02
1.80E-03,1.58E-02
1.83E-03,9.24E-02
1.86E-03,0.1624429
1.89E-03,0.2214074
1.92E-03,0.2702044
1.95E-03,0.295311
1.98E-03,0.3230352
2.01E-03,0.3098519
2.04E-03,0.2658799
2.08E-03,0.2147608
2.11E-03,0.1582839
2.14E-03,8.66E-02
2.17E-03,1.41E-02
2.20E-03,-6.00E-02
2.23E-03,-0.1084722
2.26E-03,-0.1504171
2.29E-03,-0.1768689
2.32E-03,-0.2186306
2.35E-03,-0.2548481
2.38E-03,-0.2819352
2.41E-03,-0.3052871
2.44E-03,-0.3340689
2.47E-03,-0.3690595
2.50E-03,-0.3813117
2.53E-03,-0.3807735
2.56E-03,-0.3648546
2.59E-03,-0.3471458
2.62E-03,-0.3321684
2.66E-03,-0.2991022
2.69E-03,-0.2461646
2.72E-03,-0.1961136
2.75E-03,-0.1534584
0.0027771,-0.1208039
2.81E-03,-9.20E-02
2.84E-03,-7.95E-02
2.87E-03,-6.26E-02
2.90E-03,-6.47E-02
2.93E-03,-7.32E-02
2.96E-03,-6.71E-02
2.99E-03,-5.92E-02
3.02E-03,-4.24E-02
3.05E-03,-0.0409742
3.08E-03,-0.0358994
3.11E-03,-1.09E-02
3.14E-03,1.77E-02
3.17E-03,5.81E-02
3.20E-03,8.55E-02
3.23E-03,0.102882
3.27E-03,0.1547533
3.30E-03,0.2083169
3.33E-03,0.2599062
3.36E-03,0.2823045
3.39E-03,0.3010411
3.42E-03,0.3324221
3.45E-03,0.368235
3.48E-03,0.3812461
3.51E-03,0.3924513
3.54E-03,0.4081419
3.57E-03,0.4310524
3.60E-03,0.4593325
3.63E-03,0.4684928
3.66E-03,0.4676173
3.69E-03,0.4740666
3.72E-03,0.4931315
3.75E-03,0.5167214
3.78E-03,0.5266359
3.81E-03,0.5337756
3.85E-03,0.5508431
3.88E-03,0.5688398
3.91E-03,0.583979
3.94E-03,0.5927892
3.97E-03,0.5933952
4.00E-03,0.6030917
4.03E-03,0.6299722
4.06E-03,0.6540323
4.09E-03,0.6699084
4.12E-03,0.6784156
4.15E-03,0.7105794
4.18E-03,0.740824
4.21E-03,0.7582292
4.24E-03,0.7793084
4.27E-03,0.788427
4.30E-03,0.8085048
4.33E-03,0.8166245
4.36E-03,0.8156865
4.39E-03,0.8056538
4.43E-03,0.8047392
4.46E-03,0.7848423
4.49E-03,0.7740287
4.52E-03,0.7577481
4.55E-03,0.7506023
4.58E-03,0.7734412
4.61E-03,0.8044563
4.64E-03,0.8497903
4.67E-03,0.9004939
4.70E-03,0.9365329
4.73E-03,0.9897456
4.76E-03,1.039151
4.79E-03,1.086529
4.82E-03,1.126575
4.85E-03,1.164741
4.88E-03,1.210064
4.91E-03,1.245252
4.94E-03,1.265877
4.97E-03,1.270878
5.00E-03,1.264143
0.0050354,1.268347
5.07E-03,1.246229
5.10E-03,1.204085
5.13E-03,1.169373
5.16E-03,1.147445
5.19E-03,1.128257
5.22E-03,1.111923
5.25E-03,1.095568
5.28E-03,1.088347
5.31E-03,1.088405
5.34E-03,1.097492
5.37E-03,1.100264
5.40E-03,1.093931
5.43E-03,1.053125
5.46E-03,0.9833722
5.49E-03,0.9038527
5.52E-03,0.8263117
5.55E-03,0.7517208
5.58E-03,0.6754339
5.62E-03,0.6166206
5.65E-03,0.5643705
5.68E-03,0.516774
5.71E-03,0.4693024
5.74E-03,0.4119457
5.77E-03,0.3792764
5.80E-03,0.3530404
5.83E-03,0.3531792
5.86E-03,0.3869466
5.89E-03,0.4678031
5.92E-03,0.6056325
5.95E-03,0.7766622
5.98E-03,0.9444873
6.01E-03,1.120041
6.04E-03,1.28786
6.07E-03,1.426175
6.10E-03,1.550506
6.13E-03,1.616395
6.16E-03,1.670323
6.20E-03,1.694134
6.23E-03,1.673381
6.26E-03,1.639128
6.29E-03,1.552286
6.32E-03,1.46207
6.35E-03,1.372027
6.38E-03,1.29229
6.41E-03,1.239006
6.44E-03,1.189521
6.47E-03,1.173733
6.50E-03,1.198816
6.53E-03,1.242932
6.56E-03,1.299621
6.59E-03,1.363358
6.62E-03,1.436929
6.65E-03,1.507675
6.68E-03,1.561747
6.71E-03,1.585824
6.74E-03,1.59793
6.77E-03,1.594617
6.81E-03,1.584044
6.84E-03,1.563483
6.87E-03,1.541263
6.90E-03,1.511772
6.93E-03,1.483209
6.96E-03,1.466619
6.99E-03,1.463617
7.02E-03,1.457872
7.05E-03,1.478565
7.08E-03,1.500907
7.11E-03,1.522268
7.14E-03,1.547291
7.17E-03,1.562171
7.20E-03,1.589761
7.23E-03,1.606409
7.26E-03,1.620199
7.29E-03,1.627661
7.32E-03,1.625086
7.35E-03,1.627091
7.39E-03,1.632625
7.42E-03,1.637283
7.45E-03,1.642839
7.48E-03,1.651975
7.51E-03,1.656564
7.54E-03,1.677432
7.57E-03,1.691036
7.60E-03,1.700936
7.63E-03,1.703602
7.66E-03,1.714433
7.69E-03,1.738779
7.72E-03,1.74041
7.75E-03,1.741115
7.78E-03,1.754446
0.0078125,1.770543
7.84E-03,1.799226
7.87E-03,1.816045
7.90E-03,1.817433
7.93E-03,1.846887
7.97E-03,1.864476
8.00E-03,1.887505
8.03E-03,1.9195
8.06E-03,1.939561
8.09E-03,1.961394
8.12E-03,1.964118
8.15E-03,1.965974
8.18E-03,1.952315
8.21E-03,1.924159
8.24E-03,1.893447
8.27E-03,1.864519
8.30E-03,1.839384
8.33E-03,1.807901
8.36E-03,1.774726
8.39E-03,1.736079
8.42E-03,1.717547
8.45E-03,1.711816
8.48E-03,1.72062
8.51E-03,1.723902
8.54E-03,1.738948
8.58E-03,1.759441
8.61E-03,1.78256
8.64E-03,1.789253
8.67E-03,1.805077
8.70E-03,1.812613
8.73E-03,1.827447
8.76E-03,1.838572
8.79E-03,1.849601
8.82E-03,1.867918
8.85E-03,1.892588
8.88E-03,1.928905
8.91E-03,1.966034
8.94E-03,2.016668
8.97E-03,2.061728
9.00E-03,2.097566
9.03E-03,2.143311
9.06E-03,2.190758
9.09E-03,2.218966
9.12E-03,2.230734
9.16E-03,2.232515
9.19E-03,2.221587
9.22E-03,2.204334
9.25E-03,2.164413
9.28E-03,2.0992
9.31E-03,2.047765
9.34E-03,2.000975
9.37E-03,1.956073
9.40E-03,1.908598
9.43E-03,1.863989
9.46E-03,1.834874
9.49E-03,1.79411
9.52E-03,1.741608
9.55E-03,1.723725
9.58E-03,1.713146
9.61E-03,1.740737
9.64E-03,1.766478
9.67E-03,1.785735
9.70E-03,1.82764
9.74E-03,1.864849
9.77E-03,1.879248
9.80E-03,1.880968
9.83E-03,1.849961
9.86E-03,1.822693
9.89E-03,1.804524
9.92E-03,1.769185
9.95E-03,1.743883
9.98E-03,1.739516
1.00E-02,1.775987
1.00E-02,1.847756
0.0100708,1.926589
1.01E-02,2.009784
1.01E-02,2.069985
1.02E-02,2.129224
1.02E-02,2.165532
1.02E-02,2.188125
1.03E-02,2.179827
1.03E-02,2.17246
1.03E-02,2.158695
