T,A
3.05E-05,2.042368
6.10E-05,2.036174
9.16E-05,2.023916
1.22E-04,2.011485
1.53E-04,2.002346
1.83E-04,1.992964
2.14E-04,1.973789
2.44E-04,1.946937
2.75E-04,1.921432
3.05E-04,1.908332
3.36E-04,1.905316
3.66E-04,1.911395
3.97E-04,1.917634
4.27E-04,1.912498
4.58E-04,1.895208
4.88E-04,1.872692
5.19E-04,1.846431
5.49E-04,1.818401
5.80E-04,1.793904
6.10E-04,1.779979
6.41E-04,1.77553
6.71E-04,1.778533
7.02E-04,1.787519
7.32E-04,1.803996
7.63E-04,1.826512
7.93E-04,1.846673
8.24E-04,1.852811
8.54E-04,1.833781
8.85E-04,1.794836
9.16E-04,1.750983
9.46E-04,1.712338
9.77E-04,1.683585
1.01E-03,1.660442
1.04E-03,1.637248
1.07E-03,1.612951
1.10E-03,1.592786
1.13E-03,1.569328
1.16E-03,1.537381
1.19E-03,1.503958
1.22E-03,1.476982
1.25E-03,1.457701
1.28E-03,1.435385
1.31E-03,1.405402
1.34E-03,1.375493
1.37E-03,1.35773
1.40E-03,1.358075
1.43E-03,1.369294
1.46E-03,1.384308
1.50E-03,1.399995
1.53E-03,1.416001
1.56E-03,1.430327
1.59E-03,1.441436
1.62E-03,1.44987
1.65E-03,1.458994
1.68E-03,1.471736
1.71E-03,1.485704
1.74E-03,1.489911
1.77E-03,1.477774
1.80E-03,1.458676
1.83E-03,1.446963
1.86E-03,1.451816
1.89E-03,1.46599
1.92E-03,1.475299
1.95E-03,1.477605
1.98E-03,1.480434
2.01E-03,1.489429
2.04E-03,1.496671
2.08E-03,1.498976
2.11E-03,1.498537
2.14E-03,1.504122
2.17E-03,1.517926
2.20E-03,1.528224
2.23E-03,1.530982
2.26E-03,1.52146
2.29E-03,1.511225
2.32E-03,1.509008
2.35E-03,1.518052
2.38E-03,1.538054
2.41E-03,1.562879
2.44E-03,1.585359
2.47E-03,1.603257
2.50E-03,1.610833
2.53E-03,1.609136
2.56E-03,1.596711
2.59E-03,1.58506
2.62E-03,1.580592
2.66E-03,1.585484
2.69E-03,1.601068
2.72E-03,1.623213
2.75E-03,1.65248
0.0027771,1.689643
2.81E-03,1.728883
2.84E-03,1.768379
2.87E-03,1.79751
2.90E-03,1.816486
2.93E-03,1.816149
2.96E-03,1.793498
2.99E-03,1.756191
3.02E-03,1.715163
3.05E-03,1.681944
3.08E-03,1.658879
3.11E-03,1.641499
3.14E-03,1.621092
3.17E-03,1.59219
3.20E-03,1.557178
3.23E-03,1.522545
3.27E-03,1.492622
3.30E-03,1.469929
3.33E-03,1.454662
3.36E-03,1.440147
3.39E-03,1.417762
3.42E-03,1.392441
3.45E-03,1.375712
3.48E-03,1.374007
3.51E-03,1.373644
3.54E-03,1.368395
3.57E-03,1.363521
3.60E-03,1.358564
3.63E-03,1.352608
3.66E-03,1.34085
3.69E-03,1.325135
3.72E-03,1.307826
3.75E-03,1.297363
3.78E-03,1.305524
3.81E-03,1.32672
3.85E-03,1.343873
3.88E-03,1.350721
3.91E-03,1.350207
3.94E-03,1.342686
3.97E-03,1.330465
4.00E-03,1.310368
4.03E-03,1.278158
4.06E-03,1.237867
4.09E-03,1.209107
4.12E-03,1.195495
4.15E-03,1.186081
4.18E-03,1.173605
4.21E-03,1.170695
4.24E-03,1.184574
4.27E-03,1.203493
4.30E-03,1.210653
4.33E-03,1.199815
4.36E-03,1.178855
4.39E-03,1.159198
4.43E-03,1.14377
4.46E-03,1.126197
4.49E-03,1.102044
4.52E-03,1.075496
4.55E-03,1.055362
4.58E-03,1.041457
4.61E-03,1.021406
