T,A
3.05E-05,7.77E-02
6.10E-05,6.22E-02
9.16E-05,3.95E-02
1.22E-04,1.22E-02
1.53E-04,-1.76E-02
1.83E-04,-4.54E-02
2.14E-04,-6.51E-02
2.44E-04,-7.28E-02
2.75E-04,-6.81E-02
3.05E-04,-5.20E-02
3.36E-04,-2.59E-02
3.66E-04,3.65E-03
3.97E-04,3.54E-02
4.27E-04,6.26E-02
4.58E-04,7.99E-02
4.88E-04,8.63E-02
5.19E-04,8.26E-02
5.49E-04,0.0718692
5.80E-04,5.57E-02
6.10E-04,3.78E-02
6.41E-04,2.32E-02
6.71E-04,1.39E-02
7.02E-04,1.23E-02
7.32E-04,1.50E-02
7.63E-04,2.17E-02
7.93E-04,3.34E-02
8.24E-04,4.67E-02
8.54E-04,5.88E-02
8.85E-04,6.44E-02
9.16E-04,6.37E-02
9.46E-04,5.59E-02
9.77E-04,4.02E-02
1.01E-03,1.67E-02
1.04E-03,-9.37E-03
1.07E-03,-3.44E-02
1.10E-03,-5.34E-02
1.13E-03,-6.84E-02
1.16E-03,-7.76E-02
1.19E-03,-7.90E-02
1.22E-03,-7.17E-02
1.25E-03,-5.89E-02
1.28E-03,-4.36E-02
1.31E-03,-2.95E-02
1.34E-03,-0.0221239
1.37E-03,-2.22E-02
1.40E-03,-2.83E-02
1.43E-03,-4.12E-02
1.46E-03,-6.18E-02
1.50E-03,-8.57E-02
1.53E-03,-0.1079693
1.56E-03,-0.1224529
1.59E-03,-0.1311603
1.62E-03,-0.1322299
1.65E-03,-0.1282455
1.68E-03,-0.1180457
1.71E-03,-0.1028983
1.74E-03,-8.60E-02
1.77E-03,-7.08E-02
1.80E-03,-5.65E-02
1.83E-03,-4.37E-02
1.86E-03,-0.0363908
1.89E-03,-0.0381372
1.92E-03,-4.70E-02
1.95E-03,-6.22E-02
1.98E-03,-8.06E-02
2.01E-03,-9.73E-02
2.04E-03,-0.1083288
2.08E-03,-0.1119115
2.11E-03,-0.1088773
2.14E-03,-0.1007238
2.17E-03,-0.0887007
2.20E-03,-7.54E-02
2.23E-03,-5.99E-02
2.26E-03,-4.95E-02
2.29E-03,-4.60E-02
2.32E-03,-5.02E-02
2.35E-03,-6.44E-02
2.38E-03,-0.0870254
2.41E-03,-0.1124515
2.44E-03,-0.1367872
2.47E-03,-0.1548473
2.50E-03,-0.1649547
2.53E-03,-0.1624003
2.56E-03,-0.1452343
2.59E-03,-0.1161048
2.62E-03,-7.76E-02
2.66E-03,-3.67E-02
2.69E-03,2.07E-03
2.72E-03,0.031231
2.75E-03,4.62E-02
0.0027771,4.51E-02
2.81E-03,2.85E-02
2.84E-03,9.66E-04
2.87E-03,-3.37E-02
2.90E-03,-0.0689321
2.93E-03,-0.0979732
2.96E-03,-0.1155536
2.99E-03,-0.1183926
3.02E-03,-0.1077195
3.05E-03,-8.71E-02
3.08E-03,-0.0627873
3.11E-03,-4.22E-02
3.14E-03,-2.49E-02
3.17E-03,-1.42E-02
3.20E-03,-1.05E-02
3.23E-03,-1.55E-02
3.27E-03,-2.76E-02
3.30E-03,-4.41E-02
3.33E-03,-6.49E-02
3.36E-03,-8.11E-02
3.39E-03,-8.82E-02
3.42E-03,-8.54E-02
3.45E-03,-7.24E-02
3.48E-03,-5.42E-02
3.51E-03,-3.67E-02
3.54E-03,-2.09E-02
3.57E-03,-6.40E-03
3.60E-03,3.88E-03
3.63E-03,6.28E-03
3.66E-03,-1.71E-03
3.69E-03,-1.70E-02
3.72E-03,-0.0369104
3.75E-03,-5.82E-02
3.78E-03,-7.75E-02
3.81E-03,-9.13E-02
3.85E-03,-9.43E-02
3.88E-03,-8.87E-02
3.91E-03,-7.47E-02
3.94E-03,-5.66E-02
3.97E-03,-3.79E-02
4.00E-03,-2.22E-02
4.03E-03,-1.31E-02
4.06E-03,-1.30E-02
4.09E-03,-2.39E-02
4.12E-03,-0.0422227
4.15E-03,-6.37E-02
4.18E-03,-8.72E-02
4.21E-03,-0.110119
4.24E-03,-0.1347242
4.27E-03,-0.1566541
4.30E-03,-0.1728489
4.33E-03,-0.1788376
4.36E-03,-0.1736709
4.39E-03,-0.1560203
4.43E-03,-0.1331519
4.46E-03,-0.1092452
4.49E-03,-9.29E-02
4.52E-03,-8.44E-02
4.55E-03,-8.65E-02
4.58E-03,-9.58E-02
4.61E-03,-0.1104703
4.64E-03,-0.1254709
4.67E-03,-0.1397291
4.70E-03,-0.1508514
4.73E-03,-0.1560079
4.76E-03,-0.150591
4.79E-03,-0.1351172
4.82E-03,-0.1121006
4.85E-03,-0.0861693
4.88E-03,-5.89E-02
4.91E-03,-3.44E-02
4.94E-03,-1.59E-02
4.97E-03,-5.96E-03
5.00E-03,-8.57E-03
0.0050354,-2.43E-02
5.07E-03,-5.29E-02
5.10E-03,-8.86E-02
5.13E-03,-0.1235711
5.16E-03,-0.1504335
5.19E-03,-0.169625
5.22E-03,-0.1784193
5.25E-03,-0.1794992
5.28E-03,-0.1726715
5.31E-03,-0.1601851
